The Walkmen,indie rock
Bloodfury,hardcore
The Wildhearts,power pop
Jaguar Skills,drum and bass
Jaguar Skills,bassline
John Douglas,easy listening
Carla Monroe,piano house
RVIVR,punk
RVIVR,melodic hardcore
RVIVR,pop punk
Bon Iver,indie folk
Calligram,black metal
VersaEmerge,emo pop
John Cleese,celtic
Hal Bruce,southern rock
Dungen,psychedelic rock
Dungen,space rock
Dungen,psychedelic pop
The Waterboys,celtic rock
Mushroom,nu metal
Mushroom,industrial metal
Mushroom,rap metal
Mushroom,metal
Mushroom,alternative metal
Big Boss Man,jazz funk
Big Boss Man,acid jazz
The Rood,classic rock
The Rood,rock
David Murray Octet,free jazz
David Murray Octet,avant-garde
David Murray Octet,hard bop
David Murray Octet,jazz
Hidden Orchestra,nu jazz
Hidden Orchestra,trip hop
Hidden Orchestra,downtempo
The Alarm,new wave
The Salts,sea shanties
Lucky Peterson,blues
Lucky Peterson,modern blues
Lucky Peterson,blues rock
Lucky Peterson,soul blues
Urang Matang,ska
Steve Lawson,lullaby
Au Pairs,post-punk
Au Pairs,new wave
Au Pairs,cold wave
Beverly,neo soul
Billy Connolly,comedy
Senser,rap metal
Senser,rap rock
Johnny Kidd and the Pirates,rockabilly
Johnny Kidd and the Pirates,rock and roll
Jayne County & The Electric Chairs,glam rock
Jayne County & The Electric Chairs,proto-punk
Bauhaus,post-punk
Bauhaus,deathrock
Bauhaus,darkwave
Bauhaus,cold wave
Bauhaus,new wave
Peatbog Faeries,celtic
Peatbog Faeries,celtic rock
Peatbog Faeries,folk
Northcote,folk pop
Northcote,folk punk
Hot Water Music,punk
Hot Water Music,skate punk
Hot Water Music,melodic hardcore
Hot Water Music,post-hardcore
Hot Water Music,emocore
David Essex,glam rock
David Essex,christmas
Thorsten Quaeschning,krautrock
Thorsten Quaeschning,space music
Earthen Ritual,doom metal
Earthen Ritual,stoner rock
Godeth,groove metal
The Field Mice,jangle pop
The Field Mice,dream pop
The Field Mice,shoegaze
The Field Mice,indie pop
Beastie Boys,rap rock
Beastie Boys,east coast hip hop
Beastie Boys,hip hop
Nick Lowe,power pop
Marionettes,deathrock
Marionettes,darkwave
Marionettes,post-punk
Marionettes,gothic metal
Razorlight,britpop
Razorlight,indie
Fear Factory,industrial metal
Fear Factory,groove metal
Fear Factory,industrial
Fear Factory,industrial rock
Fear Factory,nu metal
Fear Factory,metal
Fear Factory,rap metal
Fear Factory,alternative metal
Pat & Olivia,album rock
Sulk Rooms,drone
Sulk Rooms,dark ambient
Sulk Rooms,ambient
Kilburn and the High Roads,proto-punk
Shygirl,hyperpop
Nine Day Decline,industrial rock
Nine Day Decline,industrial
Nine Day Decline,industrial metal
Nine Day Decline,alternative metal
Nine Day Decline,electronic rock
Nine Day Decline,nu metal
ROSÉ,k-pop
The Overjoyed,skate punk
Bear Arms,post-hardcore
Helm,alternative metal
Helm,noise rock
Helm,post-hardcore
